date,produit,region,prix_fcfa_kg,volume_kg
2018,2018-12,31/12/2018,Riz Importé,Saint-Louis
2018,2018-12,31/12/2018,Riz Importé,Kaffrine
2018,2018-12,31/12/2018,Riz Importé Parfumé,Mereto
2018,2018-12,31/12/2018,Riz Importé Parfumé,Saint-Louis
2018,2018-12,31/12/2018,Riz Importé Parfumé,Kaffrine
2018,2018-12,31/12/2018,Riz,Saint-Louis
2018,2018-12,30/12/2018,Mil,Birkilane
2018,2018-12,30/12/2018,Maïs,Birkilane
2018,2018-12,30/12/2018,Riz Importé,Birkilane
2018,2018-12,30/12/2018,Riz Importé Parfumé,Birkilane
2018,2018-12,29/12/2018,Mil,Touba Toul
2018,2018-12,29/12/2018,Mil,Touba Mouride
2018,2018-12,29/12/2018,Maïs,Touba Toul
2018,2018-12,29/12/2018,Maïs,Touba Mouride
2018,2018-12,29/12/2018,Maïs Importé,Touba Toul
2018,2018-12,29/12/2018,Riz Importé,Touba Toul
2018,2018-12,29/12/2018,Riz Importé,Touba Mouride
2018,2018-12,29/12/2018,Riz Importé Parfumé,Touba Toul
2018,2018-12,29/12/2018,Riz,Touba Toul
2018,2018-12,28/12/2018,Mil,Porokhane
2018,2018-12,28/12/2018,Mil,Mpal
2018,2018-12,28/12/2018,Maïs,Porokhane
2018,2018-12,28/12/2018,Maïs,Mpal
2018,2018-12,28/12/2018,Maïs Importé,Mpal
2018,2018-12,28/12/2018,Sorgho Importé,Mpal
2018,2018-12,28/12/2018,Riz Importé,Porokhane
2018,2018-12,28/12/2018,Riz Importé,Mpal
2018,2018-12,28/12/2018,Riz,Mpal
2018,2018-12,27/12/2018,Mil,Kaolack
2018,2018-12,27/12/2018,Mil,Tambacounda
2018,2018-12,27/12/2018,Mil,Louga
2018,2018-12,27/12/2018,Sorgho,Kaolack
2018,2018-12,27/12/2018,Sorgho,Tambacounda
2018,2018-12,27/12/2018,Maïs,Kaolack
2018,2018-12,27/12/2018,Maïs,Tambacounda
2018,2018-12,27/12/2018,Maïs,Louga
2018,2018-12,27/12/2018,Maïs Importé,Louga
2018,2018-12,27/12/2018,Riz Importé,Kaolack
2018,2018-12,27/12/2018,Riz Importé,Tambacounda
2018,2018-12,27/12/2018,Riz Importé,Louga
2018,2018-12,27/12/2018,Riz Importé Parfumé,Kaolack
2018,2018-12,27/12/2018,Riz Importé Parfumé,Tambacounda
2018,2018-12,27/12/2018,Riz Importé Parfumé,Louga
2018,2018-12,27/12/2018,Riz,Kaolack
2018,2018-12,27/12/2018,Riz,Louga
2018,2018-12,26/12/2018,Mil,Ourossogui
2018,2018-12,26/12/2018,Mil,Thiès
2018,2018-12,26/12/2018,Mil,Sédhiou
2018,2018-12,26/12/2018,Sorgho,Ourossogui
2018,2018-12,26/12/2018,Sorgho,Thiès
2018,2018-12,26/12/2018,Maïs,Sédhiou
2018,2018-12,26/12/2018,Maïs Importé,Ourossogui
2018,2018-12,26/12/2018,Maïs Importé,Thiès
2018,2018-12,26/12/2018,Sorgho Importé,Ourossogui
2018,2018-12,26/12/2018,Sorgho Importé,Thiès
2018,2018-12,26/12/2018,Riz Importé,Ourossogui
2018,2018-12,26/12/2018,Riz Importé,Thiès
2018,2018-12,26/12/2018,Riz Importé,Sédhiou
2018,2018-12,26/12/2018,Riz Importé Parfumé,Thiès
2018,2018-12,26/12/2018,Riz Importé Parfumé,Sédhiou
2018,2018-12,26/12/2018,Riz,Ourossogui
2018,2018-12,26/12/2018,Riz,Thiès
2018,2018-12,24/12/2018,Mil,Saint-Maur
2018,2018-12,24/12/2018,Mil,Mereto
2018,2018-12,24/12/2018,Mil,Kolda
2018,2018-12,24/12/2018,Mil,Saint-Louis
2018,2018-12,24/12/2018,Mil,Kaffrine
2018,2018-12,24/12/2018,Mil,Gouille Mbeuth
2018,2018-12,24/12/2018,Sorgho,Saint-Maur
2018,2018-12,24/12/2018,Sorgho,Mereto
2018,2018-12,24/12/2018,Sorgho,Kolda
2018,2018-12,24/12/2018,Sorgho,Kaffrine
2018,2018-12,24/12/2018,Maïs,Saint-Maur
2018,2018-12,24/12/2018,Maïs,Mereto
2018,2018-12,24/12/2018,Maïs,Kolda
2018,2018-12,24/12/2018,Maïs,Saint-Louis
2018,2018-12,24/12/2018,Maïs,Kaffrine
2018,2018-12,24/12/2018,Maïs,Gouille Mbeuth
2018,2018-12,24/12/2018,Maïs Importé,Saint-Louis
2018,2018-12,24/12/2018,Maïs Importé,Gouille Mbeuth
2018,2018-12,24/12/2018,Sorgho Importé,Saint-Louis
2018,2018-12,24/12/2018,Riz Importé,Saint-Maur
2018,2018-12,24/12/2018,Riz Importé,Mereto
2018,2018-12,24/12/2018,Riz Importé,Kolda
2018,2018-12,24/12/2018,Riz Importé,Saint-Louis
2018,2018-12,24/12/2018,Riz Importé,Kaffrine
2018,2018-12,24/12/2018,Riz Importé,Gouille Mbeuth
2018,2018-12,24/12/2018,Riz Importé Parfumé,Saint-Maur
2018,2018-12,24/12/2018,Riz Importé Parfumé,Mereto
2018,2018-12,24/12/2018,Riz Importé Parfumé,Kolda
2018,2018-12,24/12/2018,Riz Importé Parfumé,Saint-Louis
2018,2018-12,24/12/2018,Riz Importé Parfumé,Kaffrine
2018,2018-12,24/12/2018,Riz Importé Parfumé,Gouille Mbeuth
